step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,2.440,1.077145,0.168668,0.178312,0.159024,20,0.00000000,0,0.080693,0.087519,0.073868,0.693540,0.689028,0.698052,0.182344,0.193917,0.170770,0.023642,0.032249,0.192346,0.276363,0.000000,0,0,0,0,0
25,44.451,0.799073,0.293410,0.302428,0.284391,20,0.00025154,1,0.025869,0.030227,0.021512,0.921311,0.911565,0.931056,0.301039,0.311570,0.290508,0.008031,0.009320,0.154321,0.223438,0.000000,0,0,0,0,0
50,570.826,0.610535,0.448660,0.450768,0.446553,23,0.00019343,1,0.018826,0.029576,0.008075,0.961234,0.940090,0.982378,0.457129,0.464100,0.450159,0.007755,0.003499,0.120657,0.170476,0.000000,3,0,0,0,0
75,620.977,0.464219,0.581582,0.573883,0.589280,23,0.00002032,0,0.017440,0.028460,0.006420,0.971644,0.953999,0.989290,0.591640,0.590216,0.593063,0.007629,0.002668,0.093175,0.126056,0.000000,3,0,0,0,0
100,1229.370,0.394123,0.648529,0.641885,0.655172,25,0.00000247,1,0.018956,0.032087,0.005825,0.972521,0.953803,0.991239,0.660735,0.662481,0.658989,0.008262,0.002546,0.077822,0.105729,0.000000,5,0,0,0,0
125,1284.201,0.351791,0.688679,0.679784,0.697575,25,0.00004279,2,0.018600,0.032831,0.004369,0.974566,0.955328,0.993803,0.701362,0.702102,0.700622,0.008932,0.001994,0.069728,0.092495,0.000000,5,0,0,0,0
150,1942.330,0.318831,0.717594,0.699396,0.735792,28,0.00001876,1,0.018313,0.031529,0.005097,0.975642,0.958127,0.993156,0.730495,0.721447,0.739542,0.008678,0.002161,0.065146,0.080714,0.000000,8,0,0,0,0
175,2003.657,0.290390,0.745625,0.712053,0.779197,28,0.00005244,1,0.020478,0.035528,0.005428,0.973575,0.954031,0.993120,0.760389,0.737351,0.783426,0.009699,0.002391,0.062757,0.067307,0.000000,8,0,0,0,0
200,2726.741,0.260826,0.774689,0.737802,0.811577,31,0.00010747,0,0.022354,0.040737,0.003971,0.972385,0.949620,0.995150,0.791329,0.767857,0.814800,0.011012,0.001768,0.057083,0.057317,0.000000,11,0,0,0,0
225,2794.512,0.237784,0.791950,0.752106,0.831794,31,0.00013226,1,0.020601,0.037760,0.003442,0.974873,0.953853,0.995893,0.807582,0.780506,0.834657,0.010074,0.001495,0.053394,0.050990,0.000000,11,0,0,0,0
250,3586.558,0.217049,0.813833,0.766658,0.861008,33,0.00010828,0,0.022801,0.042690,0.002912,0.972971,0.949304,0.996639,0.831451,0.799386,0.863516,0.011398,0.001359,0.050413,0.042127,0.000000,14,0,1,0,0
275,3658.923,0.198340,0.836800,0.795054,0.878546,33,0.00005258,0,0.024441,0.045573,0.003310,0.972143,0.948027,0.996259,0.856370,0.831287,0.881454,0.012832,0.001499,0.044595,0.036643,0.000000,14,0,1,0,0
300,4518.404,0.185629,0.849161,0.812361,0.885961,36,0.00005126,0,0.025605,0.048828,0.002383,0.971561,0.945798,0.997324,0.870050,0.852028,0.888073,0.013416,0.001068,0.040520,0.034170,0.000000,17,0,1,0,0
325,4596.366,0.174542,0.860238,0.822120,0.898357,36,0.00019569,0,0.025326,0.047805,0.002846,0.972136,0.947422,0.996851,0.881167,0.861421,0.900913,0.013293,0.001371,0.038370,0.030503,0.000000,17,0,1,0,0
350,5552.279,0.177985,0.860693,0.817485,0.903901,38,0.00025630,2,0.029604,0.056362,0.002846,0.967801,0.938732,0.996870,0.885017,0.863560,0.906473,0.015335,0.001232,0.039447,0.028746,0.000000,19,0,1,0,0
375,5635.663,0.172471,0.871653,0.829705,0.913601,38,0.00029420,2,0.032707,0.059524,0.005891,0.965107,0.936583,0.993631,0.899038,0.879092,0.918983,0.016237,0.002647,0.036722,0.025805,0.000000,19,0,1,0,0
400,6672.480,0.172478,0.878972,0.829767,0.928177,38,0.00051138,2,0.037775,0.069196,0.006354,0.960445,0.927648,0.993243,0.910629,0.887184,0.934075,0.019083,0.002801,0.037286,0.021420,0.000000,19,0,1,0,0
425,6755.909,0.165811,0.884788,0.828658,0.940917,38,0.00020722,3,0.038493,0.070964,0.006023,0.959818,0.925958,0.993677,0.917024,0.887463,0.946585,0.019667,0.002713,0.037526,0.017332,0.000000,19,0,1,0,0
450,7793.407,0.156882,0.895319,0.830447,0.960192,38,0.00021564,3,0.039995,0.074033,0.005957,0.958614,0.923358,0.993870,0.928920,0.891927,0.965912,0.020719,0.002656,0.037597,0.011550,0.000000,19,0,1,0,0
475,7877.443,0.160110,0.897015,0.824186,0.969845,38,0.00018687,3,0.044082,0.082868,0.005295,0.954818,0.915038,0.994598,0.933733,0.892485,0.974980,0.023144,0.002401,0.039446,0.008611,0.000000,19,0,1,0,0
500,8890.478,0.155816,0.899205,0.827174,0.971235,41,0.00015902,0,0.043889,0.082217,0.005560,0.955110,0.915882,0.994339,0.935909,0.895182,0.976635,0.022582,0.002492,0.038323,0.008187,0.000000,22,0,1,0,0
525,8981.640,0.149883,0.903830,0.837083,0.970577,41,0.00015944,2,0.042261,0.078962,0.005560,0.956969,0.919602,0.994335,0.939577,0.903181,0.975973,0.021769,0.002602,0.036005,0.008417,0.000000,22,0,1,0,0
550,10061.228,0.155623,0.904655,0.837462,0.971848,41,0.00013632,4,0.045601,0.084914,0.006288,0.954070,0.914529,0.993611,0.943267,0.908575,0.977959,0.023759,0.002899,0.036454,0.007987,0.000000,22,0,1,0,0
575,10151.672,0.183413,0.894721,0.819324,0.970118,41,0.00020290,3,0.058245,0.110863,0.005626,0.942843,0.891419,0.994266,0.942866,0.910156,0.975576,0.030816,0.002593,0.041368,0.008505,0.000000,22,0,1,0,0
600,11239.344,0.184896,0.896796,0.816899,0.976692,41,0.00018526,1,0.061037,0.113932,0.008141,0.940263,0.888727,0.991799,0.947307,0.909970,0.984644,0.031625,0.003524,0.042139,0.006308,0.000000,22,0,1,0,0
625,11329.564,0.183122,0.897317,0.816185,0.978448,41,0.00034634,1,0.060500,0.113653,0.007347,0.940730,0.888859,0.992601,0.947292,0.908947,0.985637,0.031609,0.003045,0.042311,0.005811,0.000000,22,0,1,0,0
650,12403.004,0.188232,0.897465,0.815039,0.979890,43,0.00031973,2,0.063238,0.119327,0.007149,0.938570,0.884331,0.992809,0.949595,0.912295,0.986894,0.033335,0.003142,0.043124,0.005284,0.000000,25,0,2,0,0
675,12497.054,0.181651,0.898831,0.817469,0.980193,43,0.00035851,1,0.060377,0.114862,0.005891,0.941067,0.888073,0.994061,0.948667,0.911365,0.985968,0.031990,0.002546,0.042255,0.005275,0.000000,25,0,2,0,0
700,13600.251,0.177727,0.901488,0.823180,0.979795,43,0.00051412,0,0.059347,0.113002,0.005692,0.942230,0.890204,0.994256,0.950787,0.916202,0.985372,0.031499,0.002516,0.040815,0.005349,0.000000,25,0,2,0,0
725,13692.616,0.181865,0.902768,0.823358,0.982177,43,0.00047583,0,0.062641,0.118862,0.006420,0.939633,0.885719,0.993547,0.954853,0.921224,0.988483,0.033049,0.002855,0.041033,0.004854,0.000000,25,0,2,0,0
750,14785.875,0.174290,0.906166,0.829702,0.982629,43,0.00020120,0,0.060038,0.114118,0.005957,0.942061,0.890113,0.994010,0.956435,0.924386,0.988483,0.031894,0.002621,0.039348,0.004583,0.000000,25,0,2,0,0
775,14876.801,0.180803,0.905912,0.828251,0.983572,43,0.00016757,0,0.063304,0.119327,0.007281,0.939335,0.885966,0.992705,0.958908,0.927083,0.990733,0.033370,0.003269,0.040109,0.004436,0.000000,25,0,2,0,0
